word,cluster
insistence,178
insolence,144
inspect,142
inspector,332
inspire,205
instability,43
instinct,224
institute,132
instruct,377
instruction,312
instructor,51
insult,193
intake,192
intelligence,130
intend,306
intensiﬁed,7
intent,224
intention,75
interact,180
intercept,73
interest,332
interested,332
interesting,509
interference,217
interject,158
interlock,283
interpret,459
interpretation,32
interrogate,464
interrogation,193
interrupt,280
interruption,193
intervene,306
interview,323
intestine,322
intimacy,96
intimidate,144
intone,511
intoxicate,381
intrigue,171
introduce,271
introduction,341
inure,62
invade,206
invent,62
inventory,30
invest,41
investigate,346
investigation,260
investor,461
invigorate,109
invitation,118
invite,271
involve,271
involvement,390
inward,462
inﬂecte,283
iove,419
iphone,191
ire,197
irk,419
iron,148
irrationality,323
irresistible,118
irresponsibility,493
irritability,413
irritable,413
irritate,413
irritated,49
irritation,49
isolate,61
issue,169
it,220
italian,117
itch,295
itching,295
itchy,295
item,1
itinerary,316
jab,296
jabber,212
jacket,330
jade,35
jailer,98
jam,136
japan,117
jar,220
jasmine,439
jaw,45
jawline,421
jealousy,49
jean,12
jeer,274
jenneeeeee,76
jenneeeeeeee,76
jeopardise,104
jeopardize,104
jerk,91
jewel,500
jeweler,81
jewelery,81
jewelry,81
jews,392
jialing,33
jibe,511
jiggle,278
jingle,482
jittery,278
jiu,33
jiujiu,33
job,328
jog,161
join,205
joint,383
joke,100
jolt,482
jostle,488
jot,504
journal,487
journey,182
jowl,82
joy,147
joylessness,433
judge,51
judgement,1
judgment,244
jug,437
juggle,278
juice,383
juke,511
jumble,60
jump,136
jumper,462
jumping,43
jumpy,278
justify,379
kaftan,208
kaiser,182
karaoke,81
keep,280
keeper,43
keepsake,98
kerchief,284
key,153
keyboard,23
kick,497
kid,166
kidnap,148
kidnapping,148
kidney,392
kill,205
killer,166
killing,135
kilt,373
kimono,376
kin,220
kind,260
kindness,143
king,141
kinswoman,93
kiss,264
kit,342
kitchen,199
