character_id,role,word,freq
5,agent,rubbed,1
5,agent,run,1
5,agent,said,27
5,agent,sat,1
5,agent,saw,1
5,agent,say,4
5,agent,see,1
5,agent,seem,1
5,agent,seemed,1
5,agent,seems,1
5,agent,shouted,1
5,agent,shut,1
5,agent,sitting,2
5,agent,sobbed,1
5,agent,spoke,1
5,agent,spoken,2
5,agent,stared,2
5,agent,start,3
5,agent,started,5
5,agent,stay,2
5,agent,stayed,3
5,agent,staying,1
5,agent,stepped,1
5,agent,stood,5
5,agent,struggled,2
5,agent,stuffing,1
5,agent,suffered,1
5,agent,take,3
5,agent,taken,1
5,agent,taking,2
5,agent,talk,1
5,agent,tell,4
5,agent,telling,1
5,agent,think,3
5,agent,thinks,1
5,agent,thought,5
5,agent,told,3
5,agent,took,7
5,agent,tried,1
5,agent,try,2
5,agent,trying,1
5,agent,turned,1
5,agent,understand,1
5,agent,understood,1
5,agent,used,2
5,agent,utter,1
5,agent,vanished,1
5,agent,volunteering,2
5,agent,walked,1
5,agent,want,5
5,agent,wanted,5
5,agent,wants,2
5,agent,warm,1
5,agent,went,5
5,agent,work,1
5,agent,worked,2
5,patient,abducted,2
5,patient,abusing,1
5,patient,accompany,2
5,patient,admire,1
5,patient,alarmed,1
5,patient,approaching,1
5,patient,ask,3
5,patient,asked,1
5,patient,asking,1
5,patient,astonished,1
