char_key,author,book,m_idx,persona,char_id,best_name,gender,count,other_names
Death_of_a_Red_Heroine_316,Qiu_Xiaolong,Death_of_a_Red_Heroine,26,0,316,Li,he/him/his,33,Li|Party Secretary Li|Li Guohua|Party Secretary Li Guohua|Secretary Li
Death_of_a_Red_Heroine_318,Qiu_Xiaolong,Death_of_a_Red_Heroine,26,7,318,Superintendent Zhao,he/him/his,25,Superintendent Zhao
Death_of_a_Red_Heroine_3184,Qiu_Xiaolong,Death_of_a_Red_Heroine,26,7,3184,my wife,she/her,24,
Death_of_a_Red_Heroine_321,Qiu_Xiaolong,Death_of_a_Red_Heroine,26,3,321,Yuan,he/him/his,23,Yuan|Comrade Yuan
Death_of_a_Red_Heroine_327,Qiu_Xiaolong,Death_of_a_Red_Heroine,26,0,327,Little Zhou,he/him/his,67,Little Zhou|Little|Zhou
Death_of_a_Red_Heroine_3277,Qiu_Xiaolong,Death_of_a_Red_Heroine,26,0,3277,my greatest friend,he/him/his,19,
Death_of_a_Red_Heroine_329,Qiu_Xiaolong,Death_of_a_Red_Heroine,26,5,329,Yuannan,he/him/his,20,Yuannan
When_Red_Is_Black_117,Qiu_Xiaolong,When_Red_Is_Black,26,0,117,Peiqin,she/her,236,Peiqin
Death_of_a_Red_Heroine_3308,Qiu_Xiaolong,Death_of_a_Red_Heroine,26,0,3308,The shop assistant,he/him/his,165,
Death_of_a_Red_Heroine_332,Qiu_Xiaolong,Death_of_a_Red_Heroine,26,5,332,Guan,she/her,607,Guan|Guan Hongying|Comrade Guan|Comrade Guan Hongying
Death_of_a_Red_Heroine_3340,Qiu_Xiaolong,Death_of_a_Red_Heroine,26,7,3340,Character_3340,he/him/his,16,
Death_of_a_Red_Heroine_339,Qiu_Xiaolong,Death_of_a_Red_Heroine,26,0,339,Zhang,he/him/his,250,Zhang|Commissar Zhang|Comrade Commissar Zhang|Comrade Commissar|The Commissar
Death_of_a_Red_Heroine_341,Qiu_Xiaolong,Death_of_a_Red_Heroine,26,6,341,Comrade Lei Feng,he/him/his,45,Comrade Lei Feng
My_Favourite_Wife_639,Tony_Parsons,My_Favourite_Wife,31,0,639,his daughter,she/her,223,
Death_of_a_Red_Heroine_343,Qiu_Xiaolong,Death_of_a_Red_Heroine,26,0,343,Qinqin,he/him/his,135,Qinqin
Death_of_a_Red_Heroine_346,Qiu_Xiaolong,Death_of_a_Red_Heroine,26,0,346,Old Hunter,he/him/his,124,Old Hunter|So Old Hunter
Enigma_of_China_169,Qiu_Xiaolong,Enigma_of_China,26,0,169,Lianping,she/her,219,Lianping|ELEVEN LIANPING
Death_of_a_Red_Heroine_3650,Qiu_Xiaolong,Death_of_a_Red_Heroine,26,6,3650,a group of his schoolmates in their campaigns- roaming the various areas of the city,they/them/their,21,
Death_of_a_Red_Heroine_3740,Qiu_Xiaolong,Death_of_a_Red_Heroine,26,5,3740,Character_3740,None,15,
Death_of_a_Red_Heroine_382,Qiu_Xiaolong,Death_of_a_Red_Heroine,26,3,382,Qian,she/her,23,Qian|Comrade Qian
Death_of_a_Red_Heroine_3829,Qiu_Xiaolong,Death_of_a_Red_Heroine,26,5,3829,The pregnant woman,she/her,23,
